Date Table.Date.Variation.Date Hierarchy.Month,Date Table.Date.Variation.Date Hierarchy.Year,Superstore.Region,Superstore.State,Sum(Superstore.Sales),Sum(Superstore.Cost),CountNonNull(Superstore.Order ID),CountNonNull(Superstore.Product Name),CountNonNull(Superstore.Customer Name)
July,2017,East,Pennsylvania,3180.017,4590.073799999999,20,20,20
August,2017,East,Pennsylvania,2615.112,3389.6528000000003,14,14,14
September,2017,East,Pennsylvania,3419.098,4416.5425,18,18,18
October,2017,East,Pennsylvania,849.731,880.1696,4,4,4
November,2017,East,Pennsylvania,3830.67,3854.9569000000006,18,18,18
December,2017,East,Pennsylvania,2412.172,2731.8001,7,7,7
January,2018,East,Pennsylvania,3608.338,3660.6712,8,8,8
February,2018,East,Pennsylvania,1448.676,1198.1831,3,3,3
March,2018,East,Pennsylvania,1162.475,1398.2789,12,12,12
April,2018,East,Pennsylvania,1976.422,2033.9573999999998,19,19,19
May,2018,East,Pennsylvania,1138.64,1456.8848,10,10,10
June,2018,East,Pennsylvania,1319.307,1294.8356,7,7,7
July,2018,East,Pennsylvania,3194.5,3263.1647000000003,22,22,22
August,2018,East,Pennsylvania,7822.83,8741.6939,8,8,8
September,2018,East,Pennsylvania,9018.123,11046.604299999997,36,36,36
October,2018,East,Pennsylvania,1873.304,2074.5742,21,21,21
November,2018,East,Pennsylvania,7158.675,8105.6549,23,23,23
December,2018,East,Pennsylvania,2967.016,3460.8064000000004,28,28,28
January,2015,East,Rhode Island,,,,,
February,2015,East,Rhode Island,,,,,
March,2015,East,Rhode Island,,,,,
April,2015,East,Rhode Island,,,,,
May,2015,East,Rhode Island,,,,,
June,2015,East,Rhode Island,,,,,
July,2015,East,Rhode Island,,,,,
August,2015,East,Rhode Island,,,,,
September,2015,East,Rhode Island,,,,,
October,2015,East,Rhode Island,2116.506,1644.1216,7,7,7
November,2015,East,Rhode Island,52.96,32.8352,1,1,1
December,2015,East,Rhode Island,2846.22,1774.4946,5,5,5
January,2016,East,Rhode Island,,,,,
February,2016,East,Rhode Island,599.9,626.7642000000001,2,2,2
March,2016,East,Rhode Island,,,,,
April,2016,East,Rhode Island,,,,,
May,2016,East,Rhode Island,51.45,37.5585,1,1,1
June,2016,East,Rhode Island,,,,,
July,2016,East,Rhode Island,,,,,
August,2016,East,Rhode Island,448.21,340.6997,4,4,4
September,2016,East,Rhode Island,,,,,
October,2016,East,Rhode Island,,,,,
November,2016,East,Rhode Island,,,,,
December,2016,East,Rhode Island,,,,,
January,2017,East,Rhode Island,,,,,
February,2017,East,Rhode Island,,,,,
March,2017,East,Rhode Island,,,,,
April,2017,East,Rhode Island,,,,,
May,2017,East,Rhode Island,111.96,57.0996,1,1,1
June,2017,East,Rhode Island,14.9,13.857,1,1,1
July,2017,East,Rhode Island,12.96,6.7392,1,1,1
August,2017,East,Rhode Island,,,,,
September,2017,East,Rhode Island,2614.64,1839.699,5,5,5
October,2017,East,Rhode Island,5549.41,2908.9302,3,3,3
November,2017,East,Rhode Island,,,,,
December,2017,East,Rhode Island,4781.73,3099.2313999999997,4,4,4
January,2018,East,Rhode Island,,,,,
February,2018,East,Rhode Island,,,,,
March,2018,East,Rhode Island,,,,,
April,2018,East,Rhode Island,139.64,103.3944,3,3,3
May,2018,East,Rhode Island,,,,,
June,2018,East,Rhode Island,102.93,54.5529,1,1,1
July,2018,East,Rhode Island,252,158.76,1,1,1
August,2018,East,Rhode Island,,,,,
September,2018,East,Rhode Island,148,76.782,4,4,4
October,2018,East,Rhode Island,1275.66,1302.3504,9,9,9
November,2018,East,Rhode Island,,,,,
December,2018,East,Rhode Island,1508.88,1263.2568,3,3,3
January,2015,East,Vermont,,,,,
February,2015,East,Vermont,,,,,
March,2015,East,Vermont,,,,,
April,2015,East,Vermont,,,,,
May,2015,East,Vermont,,,,,
June,2015,East,Vermont,,,,,
July,2015,East,Vermont,,,,,
August,2015,East,Vermont,,,,,
September,2015,East,Vermont,,,,,
October,2015,East,Vermont,,,,,
November,2015,East,Vermont,,,,,
December,2015,East,Vermont,,,,,
January,2016,East,Vermont,,,,,
February,2016,East,Vermont,,,,,
March,2016,East,Vermont,,,,,
April,2016,East,Vermont,,,,,
May,2016,East,Vermont,,,,,
June,2016,East,Vermont,,,,,
July,2016,East,Vermont,,,,,
August,2016,East,Vermont,,,,,
September,2016,East,Vermont,,,,,
October,2016,East,Vermont,,,,,
November,2016,East,Vermont,5120.1,3928.1730000000002,2,2,2
December,2016,East,Vermont,,,,,
January,2017,East,Vermont,1672.31,1219.8695999999998,3,3,3
February,2017,East,Vermont,,,,,
March,2017,East,Vermont,,,,,
April,2017,East,Vermont,1294.75,958.115,1,1,1
May,2017,East,Vermont,,,,,
June,2017,East,Vermont,,,,,
July,2017,East,Vermont,,,,,
August,2017,East,Vermont,,,,,
September,2017,East,Vermont,,,,,
October,2017,East,Vermont,,,,,
November,2017,East,Vermont,,,,,
December,2017,East,Vermont,,,,,
January,2018,East,Vermont,637.18,440.86400000000003,4,4,4
February,2018,East,Vermont,,,,,
March,2018,East,Vermont,,,,,
April,2018,East,Vermont,,,,,
May,2018,East,Vermont,,,,,
June,2018,East,Vermont,,,,,
July,2018,East,Vermont,,,,,
August,2018,East,Vermont,,,,,
September,2018,East,Vermont,,,,,
October,2018,East,Vermont,,,,,
November,2018,East,Vermont,,,,,
December,2018,East,Vermont,205.03,137.3701,1,1,1
January,2015,East,West Virginia,,,,,
February,2015,East,West Virginia,,,,,
March,2015,East,West Virginia,,,,,
April,2015,East,West Virginia,,,,,
May,2015,East,West Virginia,,,,,
June,2015,East,West Virginia,,,,,
July,2015,East,West Virginia,,,,,
August,2015,East,West Virginia,,,,,
September,2015,East,West Virginia,,,,,
October,2015,East,West Virginia,,,,,
November,2015,East,West Virginia,,,,,
December,2015,East,West Virginia,,,,,
January,2016,East,West Virginia,,,,,
February,2016,East,West Virginia,,,,,
March,2016,East,West Virginia,,,,,
April,2016,East,West Virginia,,,,,
May,2016,East,West Virginia,,,,,
June,2016,East,West Virginia,,,,,
July,2016,East,West Virginia,,,,,
August,2016,East,West Virginia,,,,,
September,2016,East,West Virginia,,,,,
October,2016,East,West Virginia,,,,,
November,2016,East,West Virginia,,,,,
December,2016,East,West Virginia,,,,,
January,2017,East,West Virginia,,,,,
February,2017,East,West Virginia,,,,,
March,2017,East,West Virginia,,,,,
April,2017,East,West Virginia,,,,,
May,2017,East,West Virginia,,,,,
June,2017,East,West Virginia,,,,,
July,2017,East,West Virginia,,,,,
August,2017,East,West Virginia,,,,,
September,2017,East,West Virginia,,,,,
October,2017,East,West Virginia,,,,,
November,2017,East,West Virginia,,,,,
December,2017,East,West Virginia,,,,,
January,2018,East,West Virginia,,,,,
February,2018,East,West Virginia,,,,,
March,2018,East,West Virginia,,,,,
April,2018,East,West Virginia,,,,,
May,2018,East,West Virginia,,,,,
June,2018,East,West Virginia,536.48,273.6048,3,3,3
July,2018,East,West Virginia,,,,,
August,2018,East,West Virginia,,,,,
September,2018,East,West Virginia,,,,,
October,2018,East,West Virginia,673.344,749.9976,1,1,1
November,2018,East,West Virginia,,,,,
December,2018,East,West Virginia,,,,,
January,2015,South,Alabama,,,,,
February,2015,South,Alabama,,,,,
March,2015,South,Alabama,,,,,
April,2015,South,Alabama,1224.88,905.9632,2,2,2
May,2015,South,Alabama,180.93,134.349,2,2,2
June,2015,South,Alabama,,,,,
July,2015,South,Alabama,,,,,
August,2015,South,Alabama,,,,,
September,2015,South,Alabama,,,,,
October,2015,South,Alabama,2216.8,1772.1098,3,3,3
November,2015,South,Alabama,14.67,10.7091,1,1,1
December,2015,South,Alabama,2501.81,2065.2264999999998,5,5,5
January,2016,South,Alabama,,,,,
February,2016,South,Alabama,,,,,
March,2016,South,Alabama,518.49,268.7589,3,3,3
April,2016,South,Alabama,,,,,
May,2016,South,Alabama,,,,,
June,2016,South,Alabama,976.29,630.0057,4,4,4
July,2016,South,Alabama,457.04,368.3662,2,2,2
August,2016,South,Alabama,,,,,
September,2016,South,Alabama,1940.15,1425.0538,4,4,4
October,2016,South,Alabama,,,,,
November,2016,South,Alabama,,,,,
December,2016,South,Alabama,,,,,
January,2017,South,Alabama,,,,,
February,2017,South,Alabama,,,,,
March,2017,South,Alabama,,,,,
April,2017,South,Alabama,,,,,
May,2017,South,Alabama,1007.68,719.4788,3,3,3
June,2017,South,Alabama,224.9,160.6616,2,2,2
July,2017,South,Alabama,29,21.75,1,1,1
August,2017,South,Alabama,197.05,137.935,1,1,1
September,2017,South,Alabama,1562.97,1246.3306000000002,6,6,6
October,2017,South,Alabama,,,,,
November,2017,South,Alabama,4629.73,2525.2436,6,6,6
December,2017,South,Alabama,,,,,
January,2018,South,Alabama,56.37,33.2359,3,3,3
February,2018,South,Alabama,,,,,
March,2018,South,Alabama,,,,,
April,2018,South,Alabama,518.16,500.184,3,3,3
May,2018,South,Alabama,26.16,13.3416,1,1,1
June,2018,South,Alabama,16.24,9.5336,2,2,2
July,2018,South,Alabama,,,,,
August,2018,South,Alabama,,,,,
September,2018,South,Alabama,,,,,
October,2018,South,Alabama,10.16,6.7056,1,1,1
November,2018,South,Alabama,239.92,215.928,1,1,1
December,2018,South,Alabama,961.24,552.9442,5,5,5
January,2015,South,Arkansas,1859.4,1422.1525000000001,6,6,6
February,2015,South,Arkansas,,,,,
March,2015,South,Arkansas,,,,,
April,2015,South,Arkansas,,,,,
May,2015,South,Arkansas,,,,,
June,2015,South,Arkansas,904.13,665.7262,2,2,2
July,2015,South,Arkansas,,,,,
August,2015,South,Arkansas,1123.61,763.3882,5,5,5
September,2015,South,Arkansas,1793.98,950.8094,1,1,1
October,2015,South,Arkansas,621.57,468.9279,3,3,3
November,2015,South,Arkansas,,,,,
December,2015,South,Arkansas,,,,,
January,2016,South,Arkansas,,,,,
February,2016,South,Arkansas,29.99,26.991,1,1,1
March,2016,South,Arkansas,,,,,
April,2016,South,Arkansas,,,,,
May,2016,South,Arkansas,,,,,
June,2016,South,Arkansas,,,,,
July,2016,South,Arkansas,,,,,
August,2016,South,Arkansas,,,,,
September,2016,South,Arkansas,,,,,
October,2016,South,Arkansas,,,,,
November,2016,South,Arkansas,308.2,259.84839999999997,2,2,2
December,2016,South,Arkansas,105.42,53.7642,1,1,1
January,2017,South,Arkansas,,,,,
February,2017,South,Arkansas,,,,,
March,2017,South,Arkansas,,,,,
April,2017,South,Arkansas,215.84,156.7552,3,3,3
May,2017,South,Arkansas,140.52,72.97559999999999,3,3,3
June,2017,South,Arkansas,678.87,398.0643,7,7,7
July,2017,South,Arkansas,,,,,
August,2017,South,Arkansas,,,,,
September,2017,South,Arkansas,239.5,124.54,1,1,1
October,2017,South,Arkansas,,,,,
November,2017,South,Arkansas,59.98,41.986,1,1,1
December,2017,South,Arkansas,889.48,515.2767,5,5,5
January,2018,South,Arkansas,,,,,
February,2018,South,Arkansas,,,,,
March,2018,South,Arkansas,40.41,21.8214,1,1,1
April,2018,South,Arkansas,,,,,
May,2018,South,Arkansas,48.9,30.807,1,1,1
June,2018,South,Arkansas,117.62,59.1916,2,2,2
July,2018,South,Arkansas,,,,,
August,2018,South,Arkansas,,,,,
September,2018,South,Arkansas,939.82,535.9356,4,4,4
October,2018,South,Arkansas,199.17,106.2392,3,3,3
November,2018,South,Arkansas,4.3,2.881,1,1,1
December,2018,South,Arkansas,1357.42,991.3615,7,7,7
January,2015,South,Florida,25.248,20.9452,1,1,1
February,2015,South,Florida,199.296,197.048,2,2,2
March,2015,South,Florida,25883.326,27436.987300000004,26,26,26
April,2015,South,Florida,737.2,606.8505,4,4,4
May,2015,South,Florida,1196.32,1411.2694,4,4,4
June,2015,South,Florida,63.381,40.9102,2,2,2
July,2015,South,Florida,1016.802,896.6502,8,8,8
August,2015,South,Florida,1767.4105,2062.8284000000003,15,15,15
September,2015,South,Florida,418.176,384.7491,7,7,7
October,2015,South,Florida,25.752,17.6849,2,2,2
November,2015,South,Florida,806.562,570.114,2,2,2
December,2015,South,Florida,2108.787,1989.9332000000002,13,13,13
January,2016,South,Florida,13.12,10.788,1,1,1
February,2016,South,Florida,,,,,
March,2016,South,Florida,1987.048,1733.1507,10,10,10
April,2016,South,Florida,316.0275,366.73969999999997,4,4,4
May,2016,South,Florida,533.6,471.056,4,4,4
June,2016,South,Florida,4467.936,4527.2063,22,22,22
July,2016,South,Florida,259.424,243.3546,3,3,3
August,2016,South,Florida,4.608,2.7376,1,1,1
September,2016,South,Florida,919.636,748.9212,7,7,7
October,2016,South,Florida,2920.4475,3646.9364,10,10,10
November,2016,South,Florida,3644.6595,5062.642500000001,18,18,18
December,2016,South,Florida,110.942,96.1608,5,5,5
January,2017,South,Florida,255.904,208.84720000000002,3,3,3
February,2017,South,Florida,471.078,466.5286,3,3,3
March,2017,South,Florida,1476.4,1390.863,3,3,3
April,2017,South,Florida,,,,,
May,2017,South,Florida,1187.262,1176.8613,17,17,17
June,2017,South,Florida,754.1,804.844,3,3,3
July,2017,South,Florida,1212.129,1252.1262000000002,7,7,7
August,2017,South,Florida,1308.0605,1477.4624,4,4,4
September,2017,South,Florida,1362.16,1543.8190000000002,6,6,6
October,2017,South,Florida,1343.539,1239.4456000000002,13,13,13
November,2017,South,Florida,2531.289,2503.8647,18,18,18
December,2017,South,Florida,1701.362,1981.9446,9,9,9
January,2018,South,Florida,421.944,491.1192,2,2,2
February,2018,South,Florida,119.178,80.5124,2,2,2
March,2018,South,Florida,133.126,172.2974,2,2,2
April,2018,South,Florida,3706.4315,3925.0623000000005,26,26,26
May,2018,South,Florida,4059.47,4530.1708,5,5,5
June,2018,South,Florida,2826.538,2678.4074,15,15,15
July,2018,South,Florida,379.6,346.6934,4,4,4
August,2018,South,Florida,4628.312,4259.035,8,8,8
September,2018,South,Florida,1976.152,1807.5369,16,16,16
October,2018,South,Florida,1773.647,1579.9871,13,13,13
November,2018,South,Florida,5236.966,4652.9761,22,22,22
December,2018,South,Florida,1183.351,1642.2909000000002,11,11,11
January,2015,South,Georgia,162.73,91.51219999999999,2,2,2
February,2015,South,Georgia,,,,,
March,2015,South,Georgia,,,,,
April,2015,South,Georgia,1479.96,1060.3415,5,5,5
May,2015,South,Georgia,,,,,
June,2015,South,Georgia,605.47,428.5428,3,3,3
July,2015,South,Georgia,256.48,152.33849999999998,3,3,3
August,2015,South,Georgia,631.56,516.3339,3,3,3
September,2015,South,Georgia,266.41,167.2301,4,4,4
October,2015,South,Georgia,,,,,
November,2015,South,Georgia,1076.25,590.0587,6,6,6
December,2015,South,Georgia,61.24,42.030199999999994,3,3,3
January,2016,South,Georgia,9.82,5.0082,1,1,1
February,2016,South,Georgia,74.52,39.4956,1,1,1
March,2016,South,Georgia,6471.49,3252.4105999999997,5,5,5
April,2016,South,Georgia,896.31,514.6473,3,3,3
May,2016,South,Georgia,17.94,9.1494,1,1,1
June,2016,South,Georgia,535.19,332.84319999999997,6,6,6
July,2016,South,Georgia,38.88,20.2176,1,1,1
August,2016,South,Georgia,1148.07,780.9875,8,8,8
September,2016,South,Georgia,1185.71,859.7441,7,7,7
October,2016,South,Georgia,392.94,349.7166,1,1,1
November,2016,South,Georgia,,,,,
December,2016,South,Georgia,567.18,409.9152,6,6,6
January,2017,South,Georgia,1712.35,986.3358,3,3,3
February,2017,South,Georgia,3441.55,2569.8369,13,13,13
March,2017,South,Georgia,650.94,458.4341999999999,5,5,5
April,2017,South,Georgia,392.7,288.5522,4,4,4
May,2017,South,Georgia,1326.7,1151.8315,4,4,4
June,2017,South,Georgia,1438.78,1098.2648000000002,3,3,3
July,2017,South,Georgia,88.15,55.517,2,2,2
August,2017,South,Georgia,186.54,145.5012,1,1,1
September,2017,South,Georgia,1291.82,834.8250999999999,8,8,8
October,2017,South,Georgia,,,,,
November,2017,South,Georgia,3229.07,2666.1490999999996,8,8,8
December,2017,South,Georgia,299.07,255.98760000000001,2,2,2
January,2018,South,Georgia,3008.32,2219.364,3,3,3
February,2018,South,Georgia,1245.86,884.5606,1,1,1
March,2018,South,Georgia,3826.91,2143.7792,6,6,6
April,2018,South,Georgia,4194.11,2626.2318999999998,5,5,5
May,2018,South,Georgia,3146.35,2241.6612000000005,12,12,12
June,2018,South,Georgia,544.14,434.247,2,2,2
July,2018,South,Georgia,372.71,270.631,4,4,4
August,2018,South,Georgia,71.98,56.8642,1,1,1
September,2018,South,Georgia,2389.45,1592.3217,23,23,23
October,2018,South,Georgia,,,,,
November,2018,South,Georgia,360.19,242.3773,5,5,5
December,2018,South,Georgia,,,,,
January,2015,South,Kentucky,4374.88,3031.3986000000004,7,7,7
February,2015,South,Kentucky,,,,,
March,2015,South,Kentucky,782.63,558.6461999999999,4,4,4
April,2015,South,Kentucky,1945.15,1628.3766,4,4,4
May,2015,South,Kentucky,199.25,130.7726,7,7,7
June,2015,South,Kentucky,,,,,
July,2015,South,Kentucky,,,,,
August,2015,South,Kentucky,25.5,18.87,1,1,1
September,2015,South,Kentucky,,,,,
October,2015,South,Kentucky,,,,,
November,2015,South,Kentucky,940.66,596.4318000000001,6,6,6
December,2015,South,Kentucky,12.39,6.5667,1,1,1
January,2016,South,Kentucky,364.07,232.9903,4,4,4
February,2016,South,Kentucky,,,,,
March,2016,South,Kentucky,,,,,
April,2016,South,Kentucky,893.09,664.1972000000001,4,4,4
May,2016,South,Kentucky,94.49,49.5603,2,2,2
June,2016,South,Kentucky,,,,,
July,2016,South,Kentucky,921.83,598.0365999999999,7,7,7
August,2016,South,Kentucky,3801.21,2177.2607,5,5,5
September,2016,South,Kentucky,,,,,
October,2016,South,Kentucky,476.17,338.11539999999997,6,6,6
November,2016,South,Kentucky,89.36,48.7984,2,2,2
December,2016,South,Kentucky,1033.34,642.6859999999999,6,6,6
January,2017,South,Kentucky,,,,,
February,2017,South,Kentucky,1190.28,927.4172000000001,3,3,3
March,2017,South,Kentucky,,,,,
April,2017,South,Kentucky,,,,,
May,2017,South,Kentucky,79.14,42.7356,1,1,1
June,2017,South,Kentucky,,,,,
July,2017,South,Kentucky,140.81,101.3832,1,1,1
August,2017,South,Kentucky,,,,,
September,2017,South,Kentucky,305.02,219.6092,5,5,5
October,2017,South,Kentucky,,,,,
November,2017,South,Kentucky,1908.41,1458.0354,8,8,8
December,2017,South,Kentucky,1479.23,1137.0468,4,4,4
January,2018,South,Kentucky,,,,,
February,2018,South,Kentucky,,,,,
March,2018,South,Kentucky,805.73,572.3136,3,3,3
April,2018,South,Kentucky,,,,,
May,2018,South,Kentucky,832.51,606.2095,4,4,4
June,2018,South,Kentucky,740.59,530.4252,4,4,4
July,2018,South,Kentucky,,,,,
August,2018,South,Kentucky,214.85,150.32729999999998,3,3,3
September,2018,South,Kentucky,1805.82,987.618,4,4,4
October,2018,South,Kentucky,678.29,478.01599999999996,6,6,6
November,2018,South,Kentucky,6343.47,4717.7741,12,12,12
December,2018,South,Kentucky,4113.58,2740.4349,15,15,15
January,2015,South,Louisiana,1287.26,960.6928,5,5,5
February,2015,South,Louisiana,,,,,
March,2015,South,Louisiana,,,,,
April,2015,South,Louisiana,434.83,345.2538,6,6,6
May,2015,South,Louisiana,,,,,
June,2015,South,Louisiana,,,,,
July,2015,South,Louisiana,,,,,
August,2015,South,Louisiana,,,,,
September,2015,South,Louisiana,,,,,
October,2015,South,Louisiana,129.92,119.5264,1,1,1
November,2015,South,Louisiana,682.91,502.6444,3,3,3
December,2015,South,Louisiana,,,,,
January,2016,South,Louisiana,,,,,
February,2016,South,Louisiana,,,,,
March,2016,South,Louisiana,,,,,
April,2016,South,Louisiana,106.5,64.965,1,1,1
May,2016,South,Louisiana,,,,,
June,2016,South,Louisiana,207.82,138.8322,5,5,5
July,2016,South,Louisiana,,,,,
August,2016,South,Louisiana,,,,,
September,2016,South,Louisiana,603.48,425.8752,2,2,2
October,2016,South,Louisiana,,,,,
November,2016,South,Louisiana,,,,,
December,2016,South,Louisiana,,,,,
January,2017,South,Louisiana,,,,,
February,2017,South,Louisiana,,,,,
March,2017,South,Louisiana,12.96,6.7392,1,1,1
April,2017,South,Louisiana,,,,,
May,2017,South,Louisiana,,,,,
June,2017,South,Louisiana,,,,,
July,2017,South,Louisiana,73.2,51.972,1,1,1
August,2017,South,Louisiana,89.32,69.5224,2,2,2
September,2017,South,Louisiana,87.28,46.2584,1,1,1
October,2017,South,Louisiana,,,,,
November,2017,South,Louisiana,,,,,
December,2017,South,Louisiana,,,,,
January,2018,South,Louisiana,,,,,
February,2018,South,Louisiana,29.16,20.7036,1,1,1
March,2018,South,Louisiana,,,,,
April,2018,South,Louisiana,,,,,
May,2018,South,Louisiana,253.86,215.07459999999998,3,3,3
June,2018,South,Louisiana,,,,,
July,2018,South,Louisiana,,,,,
August,2018,South,Louisiana,1298.55,830.418,4,4,4
September,2018,South,Louisiana,,,,,
October,2018,South,Louisiana,1541.51,1177.8258999999998,3,3,3
November,2018,South,Louisiana,,,,,
December,2018,South,Louisiana,2378.47,2044.6238000000003,3,3,3
January,2015,South,Mississippi,,,,,
February,2015,South,Mississippi,,,,,
March,2015,South,Mississippi,103.5,60.68769999999999,5,5,5
April,2015,South,Mississippi,47.79,31.5414,1,1,1
May,2015,South,Mississippi,773.7,542.7273,2,2,2
June,2015,South,Mississippi,616.14,540.0348,3,3,3
July,2015,South,Mississippi,514.03,334.63759999999996,3,3,3
August,2015,South,Mississippi,,,,,
September,2015,South,Mississippi,,,,,
October,2015,South,Mississippi,,,,,
November,2015,South,Mississippi,,,,,
December,2015,South,Mississippi,,,,,
January,2016,South,Mississippi,,,,,
February,2016,South,Mississippi,,,,,
March,2016,South,Mississippi,,,,,
April,2016,South,Mississippi,,,,,
May,2016,South,Mississippi,,,,,
June,2016,South,Mississippi,,,,,
July,2016,South,Mississippi,239.7,134.232,1,1,1
August,2016,South,Mississippi,,,,,
September,2016,South,Mississippi,,,,,
October,2016,South,Mississippi,,,,,
November,2016,South,Mississippi,,,,,
December,2016,South,Mississippi,62.46,44.7248,2,2,2
January,2017,South,Mississippi,31.36,15.68,1,1,1
February,2017,South,Mississippi,264.18,195.4932,1,1,1
March,2017,South,Mississippi,451.89,245.74960000000002,3,3,3
April,2017,South,Mississippi,,,,,
May,2017,South,Mississippi,798.02,479.35040000000004,4,4,4
June,2017,South,Mississippi,,,,,
July,2017,South,Mississippi,3613.97,2829.3244,9,9,9
August,2017,South,Mississippi,23.34,23.1066,1,1,1
September,2017,South,Mississippi,,,,,
October,2017,South,Mississippi,,,,,
November,2017,South,Mississippi,,,,,
December,2017,South,Mississippi,234.02,152.39600000000002,4,4,4
January,2018,South,Mississippi,,,,,
February,2018,South,Mississippi,,,,,
March,2018,South,Mississippi,839.25,502.465,4,4,4
April,2018,South,Mississippi,,,,,
May,2018,South,Mississippi,48.69,24.8319,1,1,1
June,2018,South,Mississippi,,,,,
July,2018,South,Mississippi,,,,,
August,2018,South,Mississippi,866.4,641.136,1,1,1
September,2018,South,Mississippi,,,,,
October,2018,South,Mississippi,11.68,6.424,1,1,1
November,2018,South,Mississippi,173.8,130.35,1,1,1
December,2018,South,Mississippi,1057.42,663.4711,5,5,5
January,2015,South,North Carolina,,,,,
February,2015,South,North Carolina,,,,,
March,2015,South,North Carolina,566.757,581.0387000000001,5,5,5
April,2015,South,North Carolina,341.448,293.483,2,2,2
May,2015,South,North Carolina,,,,,
June,2015,South,North Carolina,333.808,222.3666,3,3,3
July,2015,South,North Carolina,,,,,
August,2015,South,North Carolina,202.896,144.4512,4,4,4
September,2015,South,North Carolina,4362.943,5806.912499999999,11,11,11
October,2015,South,North Carolina,202.32,152.3188,6,6,6
November,2015,South,North Carolina,2514.601,2737.6981,11,11,11
December,2015,South,North Carolina,95.968,86.1712,1,1,1
January,2016,South,North Carolina,4297.644,6159.5564,1,1,1
February,2016,South,North Carolina,,,,,
March,2016,South,North Carolina,1280.027,1032.5777,5,5,5
April,2016,South,North Carolina,47.952,31.5682,1,1,1
May,2016,South,North Carolina,531.984,398.89160000000004,7,7,7
June,2016,South,North Carolina,,,,,
July,2016,South,North Carolina,275.234,217.38830000000002,8,8,8
August,2016,South,North Carolina,110.832,90.2321,2,2,2
September,2016,South,North Carolina,354.812,288.6273,3,3,3
October,2016,South,North Carolina,7.38,12.092,1,1,1
November,2016,South,North Carolina,1069.439,955.9253,13,13,13
December,2016,South,North Carolina,582.994,605.4599,6,6,6
January,2017,South,North Carolina,2082.812,1961.2044,9,9,9
February,2017,South,North Carolina,1127.976,1000.8787,1,1,1
March,2017,South,North Carolina,187.616,199.2939,2,2,2
April,2017,South,North Carolina,1178.524,1193.4211,10,10,10
May,2017,South,North Carolina,1554.298,1458.8851,3,3,3
June,2017,South,North Carolina,,,,,
July,2017,South,North Carolina,1102.34,1092.6661,4,4,4
August,2017,South,North Carolina,929.2,824.5692,8,8,8
September,2017,South,North Carolina,2168.749,1953.1151000000002,12,12,12
October,2017,South,North Carolina,735.287,742.1534,10,10,10
November,2017,South,North Carolina,1843.756,2349.7767,7,7,7
December,2017,South,North Carolina,2056.738,1909.5912,8,8,8
January,2018,South,North Carolina,1153.87,1202.313,7,7,7
February,2018,South,North Carolina,428.704,444.64419999999996,2,2,2
March,2018,South,North Carolina,61.876,67.3544,2,2,2
April,2018,South,North Carolina,264.648,282.6441,5,5,5
May,2018,South,North Carolina,1129.313,1031.035,7,7,7
June,2018,South,North Carolina,923.98,836.2890000000001,7,7,7
July,2018,South,North Carolina,531.968,496.09960000000007,7,7,7
August,2018,South,North Carolina,809.616,615.559,5,5,5
September,2018,South,North Carolina,1033.056,912.1566,3,3,3
October,2018,South,North Carolina,2982.606,4252.7567,13,13,13
November,2018,South,North Carolina,13993.298,18234.0778,22,22,22
December,2018,South,North Carolina,143.894,146.233,5,5,5
January,2015,South,South Carolina,545.94,458.5896,1,1,1
February,2015,South,South Carolina,,,,,
March,2015,South,South Carolina,354.9,337.155,1,1,1
April,2015,South,South Carolina,752.92,528.8777,2,2,2
May,2015,South,South Carolina,,,,,
June,2015,South,South Carolina,,,,,
July,2015,South,South Carolina,,,,,
August,2015,South,South Carolina,62.91,40.2624,1,1,1
September,2015,South,South Carolina,,,,,
October,2015,South,South Carolina,11.85,8.058,1,1,1
November,2015,South,South Carolina,542.34,431.4998,4,4,4
December,2015,South,South Carolina,,,,,
January,2016,South,South Carolina,,,,,
February,2016,South,South Carolina,,,,,
March,2016,South,South Carolina,59.48,44.7196,2,2,2
April,2016,South,South Carolina,,,,,
May,2016,South,South Carolina,186.69,98.9457,1,1,1
June,2016,South,South Carolina,,,,,
July,2016,South,South Carolina,,,,,
August,2016,South,South Carolina,,,,,
September,2016,South,South Carolina,3901.45,3140.0569,10,10,10
October,2016,South,South Carolina,,,,,
November,2016,South,South Carolina,,,,,
December,2016,South,South Carolina,,,,,
January,2017,South,South Carolina,,,,,
February,2017,South,South Carolina,,,,,
March,2017,South,South Carolina,,,,,
April,2017,South,South Carolina,,,,,
May,2017,South,South Carolina,,,,,
June,2017,South,South Carolina,191.88,172.692,1,1,1
July,2017,South,South Carolina,284.68,172.2058,9,9,9
August,2017,South,South Carolina,,,,,
September,2017,South,South Carolina,25.92,13.4784,1,1,1
October,2017,South,South Carolina,,,,,
November,2017,South,South Carolina,,,,,
December,2017,South,South Carolina,,,,,
January,2018,South,South Carolina,,,,,
February,2018,South,South Carolina,,,,,
March,2018,South,South Carolina,,,,,
April,2018,South,South Carolina,127.95,106.1985,1,1,1
May,2018,South,South Carolina,301.96,268.7444,1,1,1
June,2018,South,South Carolina,,,,,
July,2018,South,South Carolina,,,,,
August,2018,South,South Carolina,,,,,
September,2018,South,South Carolina,685.26,658.0068,2,2,2
October,2018,South,South Carolina,,,,,
November,2018,South,South Carolina,406.94,210.02679999999998,2,2,2
December,2018,South,South Carolina,38.64,23.136,2,2,2
